Age;Education;Marital_Status;Income;Children;Mn_Customer;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;AllSpends
54;Graduation;Divorced;70287;0;4;295;35;482;121;120;40;1093
32;Graduation;Single;27938;1;4;13;0;8;2;1;5;29
38;Graduation;Single;;1;6;11;3;22;2;2;6;46
52;PhD;Married;55954;1;3;447;0;28;0;0;43;518
38;Master;Single;75777;0;7;712;26;538;69;13;80;1438
45;Graduation;Together;66653;2;9;452;18;102;16;18;6;612
68;Graduation;Single;61823;1;2;523;7;134;37;14;169;884
69;PhD;Widow;67680;1;6;546;0;48;0;6;6;606
72;Graduation;Together;70666;0;12;398;40;367;119;122;30;1076
49;Graduation;Married;25721;1;5;1;3;6;3;6;15;34
53;Graduation;Together;32474;2;5;10;0;1;0;0;0;11
41;2n Cycle;Single;88194;1;3;688;14;309;201;24;38;1274
62;Graduation;Together;69096;1;9;247;49;159;7;82;109;653
50;Graduation;Together;74854;3;4;856;59;487;58;29;73;1562
66;Master;Married;66991;0;9;496;36;460;189;60;12;1253
47;2n Cycle;Married;;1;9;25;3;43;17;4;17;109
61;Graduation;Married;65031;1;3;258;107;291;84;37;86;863
45;PhD;Married;60631;2;4;565;6;65;0;6;19;661
68;Graduation;Married;28332;0;4;14;10;13;4;15;9;65
43;Graduation;Divorced;40246;1;12;2;1;6;2;1;1;13
48;Master;Married;75251;0;8;721;111;925;97;18;18;1890
44;Graduation;Single;75825;0;10;1032;105;779;137;105;51;2209
44;2n Cycle;Together;26326;0;9;1;0;5;0;3;9;18
55;Graduation;Together;56046;0;1;577;0;64;0;0;51;692
35;Graduation;Single;29760;1;8;64;4;68;7;5;17;165
51;Graduation;Married;26304;1;6;4;1;5;2;0;4;16
47;2n Cycle;Married;23559;1;7;25;5;19;7;0;23;79
57;Master;Together;38620;0;5;112;17;44;34;22;89;318
33;Graduation;Divorced;81361;0;2;163;23;424;27;65;76;778
60;Graduation;Married;29440;2;8;17;8;14;10;4;3;56
50;Master;Married;36138;2;7;130;0;16;0;0;5;151
63;Graduation;Single;50388;1;5;292;6;37;0;3;34;372
47;Graduation;Married;79593;0;5;350;60;568;110;133;145;1366
53;Graduation;Together;54178;1;1;135;9;39;4;0;7;194
63;PhD;Married;;3;11;230;42;192;49;37;53;603
63;Graduation;Single;;2;5;7;0;8;2;0;1;18
47;Master;Together;;0;11;445;37;359;98;28;18;985
48;Master;Single;42394;1;3;15;2;10;0;1;4;32
50;PhD;Married;23626;1;5;27;2;14;0;0;0;43
37;Graduation;Married;30096;1;5;5;3;11;12;5;9;45
60;Graduation;Widow;47916;1;11;505;0;26;0;0;75;606
48;Graduation;Divorced;51813;2;4;51;2;7;0;1;2;63
69;2n Cycle;Married;78497;0;12;207;26;447;75;0;223;978
37;PhD;Married;50150;0;6;135;46;92;65;61;11;410
60;2n Cycle;Single;47823;1;7;53;1;5;2;1;10;72
61;PhD;Single;34554;1;3;41;1;6;2;0;5;55
41;Graduation;Together;85693;1;4;386;172;183;185;132;111;1169
75;PhD;Married;65846;0;5;562;81;276;80;40;81;1120
61;Graduation;Married;87195;0;5;217;76;690;50;26;38;1097
41;Basic;Together;24594;1;12;1;3;6;10;0;9;29
56;Graduation;Married;49096;2;9;144;1;32;2;1;7;187
51;Graduation;Married;52413;2;2;295;106;271;75;98;65;910
42;Graduation;Single;38557;1;12;76;3;31;4;4;27;145
60;Master;Married;89058;0;12;454;194;106;31;22;43;850
41;Graduation;Together;77298;1;11;425;115;292;23;35;79;969
29;PhD;Single;68126;0;11;1332;17;311;23;51;86;1820
57;Master;Together;57288;1;6;527;0;21;0;0;60;608
29;Graduation;Single;86037;0;1;490;44;125;29;20;22;730
40;PhD;Married;43974;1;12;378;0;101;0;0;72;551
58;Graduation;Single;50785;2;9;64;1;21;0;1;27;114
50;Graduation;Married;90765;0;1;547;99;812;151;82;33;1724
42;2n Cycle;Married;36550;1;2;47;90;94;123;103;120;577
53;2n Cycle;Together;30753;2;7;12;5;25;0;9;30;81
51;Graduation;Together;21918;1;11;1;6;7;11;5;3;33
67;Master;Together;56129;1;6;320;48;133;39;72;48;660
53;Master;Single;32557;1;2;34;3;29;0;4;10;80
35;Master;Married;19510;2;9;9;0;7;3;4;7;30
44;Graduation;Divorced;30992;1;4;17;0;14;7;3;2;43
37;Graduation;Single;101970;0;3;722;27;102;44;72;168;1135
55;2n Cycle;Together;71488;0;2;162;33;124;40;28;172;559
36;Graduation;Single;79607;0;4;450;133;951;173;0;216;1923
67;Master;Married;54348;2;6;70;0;16;0;0;4;90
59;PhD;Married;;1;7;352;0;27;10;0;15;404
64;PhD;Together;77376;2;5;492;19;110;16;12;12;661
68;Graduation;Married;62998;1;9;120;58;73;65;89;58;463
62;Master;Single;61331;2;3;534;5;47;0;5;41;632
51;Graduation;Married;73448;0;2;236;106;189;23;41;130;725
57;Graduation;Married;;1;8;231;65;196;38;71;124;725
56;PhD;Married;41551;2;8;220;0;33;3;0;23;279
53;PhD;Together;62981;0;3;796;14;590;38;44;0;1482
44;Basic;Divorced;9548;1;8;0;1;3;10;6;9;29
61;PhD;Married;33762;3;7;53;1;34;2;0;16;106
47;PhD;Single;35860;2;5;15;0;8;4;2;20;49
55;PhD;Divorced;36921;2;7;17;1;12;3;1;4;38
28;Master;Single;92859;0;10;962;61;921;52;61;20;2077
44;Master;Together;65104;1;11;738;0;232;13;20;50;1053
58;Graduation;Married;86111;0;4;399;28;756;36;40;126;1385
46;PhD;Single;68352;1;8;614;16;132;43;33;33;871
32;Graduation;Together;41883;1;3;32;34;41;73;16;116;312
44;Graduation;Married;59809;2;10;598;16;141;32;41;49;877
45;Graduation;Married;23957;1;10;2;1;18;20;11;16;68
39;Graduation;Together;38547;1;8;6;1;10;0;1;4;22
47;2n Cycle;Married;35688;3;8;73;3;90;12;1;32;211
54;Master;Married;49605;0;6;42;16;29;12;20;8;127
67;Master;Married;59354;2;4;295;21;78;39;13;13;459
51;Graduation;Married;65747;1;3;346;17;48;23;13;13;460
48;2n Cycle;Together;46344;1;12;233;20;57;8;20;91;429
32;Graduation;Single;34176;1;5;5;7;24;19;14;20;89
68;PhD;Together;61010;1;10;888;0;57;0;0;76;1021
71;Graduation;Together;69372;0;2;997;26;269;34;13;42;1381
62;Graduation;Single;49967;1;7;212;6;69;4;12;3;306
42;Graduation;Single;60199;3;9;8;1;7;2;0;0;18
43;Graduation;Together;55375;1;10;42;11;57;10;28;14;162
65;Graduation;Single;80317;0;8;536;11;387;149;91;57;1231
62;Master;Single;30523;3;7;5;0;3;0;0;5;13
75;PhD;Married;70356;0;11;1349;16;249;43;16;33;1706
36;Graduation;Married;23228;1;1;53;3;49;7;4;5;121
45;PhD;Divorced;74165;0;5;1001;12;240;16;12;12;1293
47;PhD;Married;157243;1;3;20;2;1582;1;2;1;1608
54;Graduation;Together;43482;3;11;18;1;32;6;3;28;88
67;Graduation;Divorced;62551;0;11;125;16;98;134;21;27;421
61;Graduation;Divorced;52332;0;8;212;5;33;7;0;2;259
32;Graduation;Single;66951;0;11;277;162;305;173;76;124;1117
63;Graduation;Together;26091;2;2;15;10;19;8;17;20;89
55;Graduation;Together;33456;2;4;7;3;10;8;1;7;36
38;Graduation;Married;28718;1;7;12;4;6;11;8;16;57
50;Graduation;Married;50447;2;4;85;7;24;2;3;27;148
61;PhD;Together;53537;2;1;81;0;6;0;0;6;93
53;Graduation;Single;52074;1;4;59;0;12;0;0;48;119
45;PhD;Married;80427;1;9;1149;71;449;69;71;26;1835
72;PhD;Married;83837;0;12;847;66;119;86;89;111;1318
50;PhD;Married;38853;2;5;29;0;14;0;0;2;45
61;Graduation;Together;38285;3;6;2;0;5;2;0;1;10
69;2n Cycle;Married;78497;0;12;207;26;447;75;0;223;978
44;PhD;Married;51650;1;5;152;3;22;2;5;7;191
32;2n Cycle;Married;16248;1;5;12;11;10;3;12;9;57
74;Master;Married;66835;0;9;620;26;195;34;17;141;1033
36;Master;Married;30477;1;1;47;1;6;0;0;12;66
59;Basic;Married;28249;0;6;1;9;7;2;14;10;43
37;Graduation;Married;25271;1;12;10;1;18;10;4;7;50
50;PhD;Single;32303;1;3;35;0;2;0;0;2;39
54;Graduation;Married;61286;1;8;356;0;107;19;9;117;608
44;Graduation;Married;74068;0;3;783;30;537;140;76;15;1581
56;PhD;Married;45759;2;2;42;1;18;3;0;4;68
42;Basic;Together;24882;1;9;1;4;10;29;0;36;80
31;PhD;Together;66973;0;5;466;22;432;147;113;102;1282
120;2n Cycle;Divorced;36640;1;9;15;6;8;7;4;25;65
32;Graduation;Married;38872;1;5;23;3;21;3;19;22;91
47;Graduation;Married;51148;2;2;235;6;45;8;9;12;315
43;Graduation;Married;31353;2;12;10;0;10;3;1;7;31
40;Master;Married;69661;0;5;656;16;106;32;16;8;834
66;Graduation;Married;80067;0;9;519;17;813;27;173;51;1600
66;Graduation;Married;86718;0;1;344;189;482;50;33;172;1270
47;PhD;Single;46854;2;3;96;1;79;7;1;79;263
68;Graduation;Divorced;69142;1;6;448;4;34;6;4;39;535
52;Graduation;Single;75922;0;12;265;138;553;224;23;92;1295
42;Graduation;Divorced;63693;1;10;587;43;337;42;87;54;1150
43;PhD;Together;102160;0;11;763;29;138;76;176;58;1240
55;PhD;Single;40637;2;7;22;0;13;0;0;3;38
36;Master;Single;18890;0;11;6;4;1;7;2;15;35
32;Graduation;Together;29604;1;12;7;6;13;7;6;14;53
57;Master;Divorced;48721;2;5;81;18;113;47;13;21;293
54;Graduation;Married;44794;1;6;54;0;7;0;0;4;65
66;Graduation;Divorced;64497;1;9;1170;48;320;42;32;192;1804
64;Graduation;Together;46097;1;3;72;24;68;65;4;8;241
66;Graduation;Together;77972;0;3;613;22;319;33;102;12;1101
52;PhD;Married;44377;2;10;224;0;30;0;0;10;264
46;Master;Together;46014;2;1;410;0;59;19;9;44;541
35;Graduation;Married;70951;0;5;239;10;554;254;87;54;1198
43;Graduation;Married;41443;1;4;171;7;171;25;19;89;482
42;2n Cycle;Single;52195;3;5;12;0;4;0;0;1;17
72;Master;Married;83790;0;11;1076;16;417;42;48;16;1615
66;Master;Widow;44551;1;8;182;4;33;0;0;66;285
40;Graduation;Together;69508;1;11;824;32;162;42;32;43;1135
32;2n Cycle;Together;45204;1;4;30;11;25;29;1;18;114
51;Graduation;Married;72460;0;11;377;10;540;80;30;10;1047
50;PhD;Together;77622;2;4;520;7;154;19;0;14;714
40;PhD;Married;30732;1;1;155;1;25;0;1;3;185
58;Graduation;Divorced;63887;1;9;897;23;207;15;11;92;1245
42;Graduation;Together;42011;1;3;131;0;16;2;1;39;189
44;Graduation;Together;51369;1;10;297;7;79;0;11;182;576
68;Graduation;Divorced;51537;1;12;787;20;204;0;0;92;1103
48;PhD;Married;79930;0;8;792;86;740;67;51;17;1753
34;PhD;Together;34320;1;2;4;1;9;3;0;0;17
54;Graduation;Single;37070;2;3;231;7;137;4;15;39;433
58;2n Cycle;Divorced;81975;1;1;983;76;184;180;138;27;1588
49;Graduation;Together;38590;1;5;3;1;8;4;3;3;22
69;Graduation;Single;15033;0;4;0;4;5;6;0;4;19
55;PhD;Married;62745;1;3;562;21;464;28;10;32;1117
45;2n Cycle;Married;22212;1;12;5;9;20;6;8;21;69
38;Master;Together;23661;1;12;18;0;4;0;0;1;23
62;PhD;Single;79761;1;10;415;5;124;15;35;11;605
47;Graduation;Single;7500;1;12;5;3;10;12;7;20;57
127;2n Cycle;Single;60182;1;5;8;0;5;7;0;2;22
52;Graduation;Widow;73455;0;10;901;61;757;186;163;20;2088
62;Graduation;Together;64961;1;12;382;114;276;75;124;38;1009
49;Graduation;Single;22804;1;7;14;1;7;2;1;1;26
30;Graduation;Married;73687;0;11;559;153;503;218;13;181;1627
62;Graduation;Married;61074;1;8;789;0;133;0;28;152;1102
56;PhD;Married;31686;2;6;11;0;5;0;0;1;17
48;Graduation;Married;80134;1;5;1218;16;272;104;0;80;1690
67;Graduation;Married;75027;1;1;925;64;179;133;12;77;1390
32;PhD;Married;67546;0;8;864;134;768;150;38;172;2126
51;Master;Together;65176;1;10;960;28;183;220;70;70;1531
45;Master;Single;31160;1;9;16;3;25;6;1;13;64
35;Graduation;Single;29938;1;10;3;3;7;0;2;11;26
46;Graduation;Divorced;102692;0;4;168;148;444;32;172;148;1112
62;2n Cycle;Together;26490;0;9;45;47;52;21;20;25;210
53;Graduation;Together;75702;2;8;650;28;353;45;42;30;1148
46;PhD;Single;30899;1;10;24;0;8;0;0;1;33
59;PhD;Together;63342;1;10;918;21;118;13;10;21;1101
56;Graduation;Single;45989;1;10;138;33;87;28;24;12;322
56;Graduation;Single;18701;2;6;12;4;2;10;6;10;44
63;PhD;Single;40737;3;12;11;0;4;0;0;2;17
41;Graduation;Divorced;15287;1;10;1;2;8;4;3;13;31
52;PhD;Divorced;69674;2;5;554;41;215;11;0;24;845
50;Master;Married;44159;1;6;167;2;62;24;13;7;275
42;PhD;Married;37717;1;11;9;0;6;4;1;5;25
68;Master;Together;43776;2;2;177;2;71;3;2;20;275
54;Master;Married;38179;2;3;38;4;22;4;2;20;90
57;Graduation;Married;80124;0;6;483;84;398;205;84;241;1495
50;PhD;Married;38097;2;10;77;2;35;0;1;69;184
50;Graduation;Married;72940;0;6;182;74;298;162;149;116;981
50;Graduation;Together;22070;1;10;10;7;19;8;2;21;67
67;Graduation;Single;69267;0;9;778;44;499;95;73;146;1635
37;Master;Single;31788;1;3;16;7;23;0;8;6;60
45;PhD;Together;61905;1;2;167;0;43;6;2;13;231
60;Graduation;Married;29315;2;4;13;2;14;8;7;4;48
57;Graduation;Divorced;33378;2;2;33;6;40;3;7;10;99
57;PhD;Together;66313;1;9;625;7;99;10;22;7;770
64;Graduation;Single;60714;0;1;216;162;224;101;92;162;957
39;Master;Together;77882;0;4;68;129;396;188;22;15;818
34;PhD;Single;69867;0;4;196;0;512;33;130;54;925
52;Master;Divorced;63841;1;4;635;15;100;20;7;131;908
39;Basic;Married;24480;1;2;4;19;9;28;25;17;102
44;Graduation;Together;51369;1;10;297;7;79;0;11;182;576
74;Graduation;Together;37760;0;8;84;5;38;150;12;28;317
46;PhD;Together;65640;1;3;204;7;149;20;15;66;461
45;Master;Married;44319;2;4;26;0;8;0;0;3;37
46;Graduation;Married;30631;1;7;15;6;20;4;5;20;70
68;Graduation;Together;75278;0;1;304;98;230;150;74;74;930
64;Master;Together;50898;2;1;285;28;242;55;114;135;859
54;Graduation;Widow;79946;0;5;395;183;565;166;141;28;1478
71;Master;Divorced;35416;0;6;248;3;81;4;3;51;390
36;2n Cycle;Together;32414;0;7;20;6;5;0;9;12;52
51;Graduation;Together;38361;1;12;39;0;56;20;8;14;137
40;Graduation;Married;82497;0;10;777;129;573;216;21;203;1919
49;Graduation;Together;16626;2;1;8;3;22;21;1;13;68
55;Graduation;Together;29672;2;3;9;1;3;0;4;8;25
68;Master;Together;55951;1;8;1241;0;80;0;13;40;1374
32;2n Cycle;Divorced;35388;1;3;6;4;7;4;3;8;32
34;Master;Together;42386;1;1;65;4;16;0;4;11;100
38;Graduation;Single;68627;0;1;395;15;263;60;54;38;825
55;PhD;Divorced;57912;1;3;801;0;80;0;0;35;916
62;Graduation;Divorced;35246;2;4;36;0;12;2;2;10;62
64;2n Cycle;Together;58821;1;10;513;14;154;19;0;28;728
42;PhD;Married;46377;1;3;37;0;46;4;3;0;90
32;Graduation;Single;39747;1;4;80;15;93;20;13;52;273
36;Graduation;Together;23976;1;12;14;1;21;2;3;25;66
59;Master;Married;80950;0;3;525;147;112;219;147;63;1213
54;Graduation;Widow;27038;0;9;1;26;25;17;23;15;107
73;Graduation;Single;77457;0;3;675;11;400;15;45;11;1157
56;Master;Married;64100;1;9;509;0;27;0;0;10;546
28;Master;Together;42670;0;4;154;2;46;20;4;15;241
44;Graduation;Divorced;12571;1;1;3;5;14;2;12;17;53
53;Graduation;Married;22574;3;10;25;0;8;2;0;2;37
31;Graduation;Married;;0;6;861;138;461;60;30;61;1611
44;Master;Single;70893;0;2;768;44;561;77;44;14;1508
54;Graduation;Married;54198;2;12;185;0;28;3;2;17;235
64;Master;Together;28839;2;3;24;0;7;0;0;1;32
48;Graduation;Married;40321;2;7;44;4;21;6;0;27;102
35;Graduation;Single;66503;1;8;91;64;128;65;3;50;401
69;Graduation;Married;30833;2;7;11;0;7;3;1;6;28
50;Graduation;Single;;3;8;738;20;172;52;50;20;1052
49;Graduation;Married;64795;1;1;412;5;119;38;29;77;680
46;Graduation;Married;34421;1;7;3;3;7;6;2;9;30
55;PhD;Divorced;47025;2;2;16;0;3;0;0;1;20
59;PhD;Divorced;64325;1;2;731;60;353;78;12;73;1307
67;Graduation;Single;40464;1;1;424;17;118;7;23;41;630
63;Graduation;Married;62187;0;7;792;0;275;45;45;126;1283
44;PhD;Divorced;14849;1;7;21;2;28;3;2;9;65
36;Graduation;Married;27255;1;11;22;1;11;0;1;2;37
70;PhD;Married;54432;3;5;33;0;5;0;0;0;38
34;PhD;Single;29999;1;2;68;7;59;10;5;11;160
37;Graduation;Single;24072;1;4;9;1;6;3;0;4;23
31;PhD;Single;33996;0;9;40;2;15;8;0;6;71
64;PhD;Married;66334;1;4;909;11;218;0;0;23;1161
49;Master;Married;35178;1;1;23;1;13;2;2;18;59
37;Graduation;Together;22010;1;6;11;2;9;3;0;8;33
60;Graduation;Divorced;62204;2;9;317;46;247;151;46;139;946
52;Graduation;Divorced;75693;0;12;797;153;293;72;97;30;1442
48;Graduation;Married;30675;1;11;10;2;16;11;2;21;62
55;Graduation;Together;83003;0;3;856;61;570;40;25;122;1674
121;PhD;Together;83532;0;9;755;144;562;104;64;224;1853
32;Graduation;Single;68655;0;8;456;19;832;75;118;38;1538
34;Graduation;Divorced;41411;0;12;37;32;38;11;3;18;139
51;PhD;Married;55212;1;11;1103;0;45;0;0;34;1182
70;PhD;Together;59292;1;6;378;14;68;19;14;14;507
47;Basic;Together;27190;1;8;1;6;7;0;1;3;18
68;Graduation;Divorced;82623;0;11;204;34;204;172;153;173;940
55;Graduation;Married;44300;2;6;30;0;9;0;0;3;42
50;Graduation;Divorced;84835;0;6;189;104;379;111;189;218;1190
49;Graduation;Widow;30372;2;12;15;0;12;7;3;7;44
44;Master;Married;33181;1;1;9;0;3;0;0;4;16
63;Graduation;Married;71113;1;12;495;33;255;11;33;8;835
34;Graduation;Married;71952;1;1;656;80;455;52;107;93;1443
54;PhD;Single;69759;0;10;452;20;514;13;30;0;1029
46;Graduation;Married;72099;0;10;546;91;410;119;0;22;1188
44;PhD;Single;60000;1;12;1048;0;217;0;0;12;1277
42;Graduation;Single;38643;2;11;22;2;14;0;1;10;49
65;Graduation;Married;50737;1;5;78;0;11;0;0;10;99
51;PhD;Married;68462;0;12;561;64;785;84;128;48;1670
77;Master;Married;65073;0;8;629;17;177;69;0;8;900
72;PhD;Together;46681;2;10;269;15;69;15;19;38;425
63;Graduation;Married;78618;0;9;736;163;818;212;163;61;2153
51;PhD;Widow;62187;1;3;512;0;83;0;0;41;636
42;Graduation;Married;28442;2;2;19;3;10;11;8;6;57
42;PhD;Married;37717;1;11;9;0;6;4;1;5;25
53;Graduation;Married;51479;2;12;247;8;160;6;8;65;494
51;Graduation;Single;54803;1;8;404;0;92;28;27;142;693
60;Graduation;Married;79530;0;5;333;0;815;129;42;29;1348
44;Graduation;Divorced;31615;1;3;2;3;20;6;11;9;51
58;Graduation;Together;72025;0;11;833;33;549;151;133;233;1932
45;PhD;Single;52614;1;12;789;0;142;12;9;38;990
36;2n Cycle;Married;35684;1;4;10;4;7;0;6;3;30
45;Graduation;Married;48178;2;10;159;4;45;6;2;38;254
50;Master;Single;29548;1;8;7;1;6;3;1;11;29
54;Graduation;Single;63810;1;11;977;12;253;16;12;101;1371
48;PhD;Single;38578;2;6;38;4;22;3;3;3;73
45;Master;Single;46098;2;8;57;0;27;0;0;36;120
50;Graduation;Single;22585;0;3;3;9;15;13;2;39;81
31;Graduation;Single;30279;1;12;10;4;14;4;4;1;37
59;PhD;Together;66426;1;10;1043;24;97;32;24;157;1377
51;Graduation;Single;30822;1;6;3;9;13;2;12;12;51
51;PhD;Married;33581;2;1;11;0;5;0;0;1;17
35;Graduation;Married;19986;1;11;3;6;5;0;2;6;22
66;Graduation;Widow;27421;0;12;43;12;96;78;40;55;324
47;2n Cycle;Married;35688;3;8;73;3;90;12;1;32;211
39;Master;Single;36143;1;3;12;0;1;0;0;6;19
49;Graduation;Single;10245;1;5;4;7;7;6;4;13;41
52;Master;Together;43795;1;10;314;11;53;4;3;107;492
60;Graduation;Together;63381;1;10;571;50;142;33;50;159;1005
71;Graduation;Together;38823;1;8;70;0;11;2;8;23;114
52;PhD;Divorced;83664;2;5;866;21;151;28;21;86;1173
41;Graduation;Together;90300;0;1;594;134;786;33;134;57;1738
41;Master;Together;62499;1;12;140;4;61;0;13;4;222
27;Graduation;Single;74293;0;5;375;152;335;93;91;81;1127
74;PhD;Married;51012;0;4;102;9;63;2;9;24;209
52;Master;Married;70777;1;2;554;35;113;0;7;78;787
29;PhD;Together;68682;0;10;919;0;505;99;30;45;1598
49;Graduation;Married;43824;2;9;96;1;42;12;3;32;186
36;Graduation;Together;15345;1;8;5;2;16;3;2;19;47
33;Graduation;Single;23442;1;12;2;0;6;8;6;5;27
40;2n Cycle;Together;14515;1;11;6;4;9;6;36;35;96
64;2n Cycle;Divorced;31395;2;3;23;1;25;0;8;7;64
55;Graduation;Together;75276;0;9;610;105;125;137;42;21;1040
46;Graduation;Single;42373;2;8;67;5;61;3;8;19;163
60;Graduation;Together;30507;0;3;65;36;74;38;20;110;343
65;PhD;Single;55521;3;10;416;0;26;0;0;4;446
55;Graduation;Married;48006;2;6;23;0;11;3;2;2;41
48;PhD;Single;27213;1;8;19;3;26;10;9;3;70
49;PhD;Divorced;65808;2;5;155;7;80;13;7;10;272
46;PhD;Together;30351;1;6;14;0;24;3;3;2;46
57;Graduation;Married;50437;2;10;370;9;92;6;9;4;490
38;2n Cycle;Single;23616;1;11;4;22;11;3;7;32;79
44;Graduation;Married;53858;1;11;407;53;221;58;150;26;915
65;PhD;Married;66465;1;3;1200;0;204;38;29;14;1485
33;Graduation;Single;46923;1;8;85;44;54;102;78;6;369
58;Graduation;Together;75072;1;1;583;34;309;0;22;125;1073
77;PhD;Married;75865;0;3;483;0;591;156;0;12;1242
45;2n Cycle;Together;19789;1;11;2;5;9;28;6;28;78
26;Graduation;Together;80134;0;2;966;26;282;52;26;26;1378
39;Graduation;Single;91065;0;2;822;114;108;179;137;114;1474
49;Master;Married;49505;2;3;604;0;100;19;0;28;751
47;PhD;Married;37401;1;5;19;3;19;3;1;3;48
37;Graduation;Married;30096;1;5;5;3;11;12;5;9;45
38;Master;Together;18492;1;6;2;2;2;2;1;1;10
46;Master;Married;82584;0;6;1076;68;103;29;91;68;1435
79;PhD;Married;93027;0;4;1285;42;716;55;0;21;2119
67;Graduation;Married;48686;3;12;10;0;7;2;0;1;20
34;Graduation;Married;92910;0;4;551;137;792;179;103;33;1795
31;Graduation;Married;75433;1;4;800;0;297;0;34;57;1188
31;2n Cycle;Together;10404;1;5;2;2;11;10;6;12;43
52;Graduation;Married;61314;1;4;378;0;189;97;172;172;1008
59;PhD;Single;84865;0;5;1248;16;349;43;16;16;1688
31;Graduation;Married;42387;1;10;235;0;235;19;4;191;684
53;2n Cycle;Together;67309;2;1;515;47;181;149;95;95;1082
56;Graduation;Married;75236;1;11;438;66;400;12;38;114;1068
50;Graduation;Single;30015;1;2;25;0;22;2;3;5;57
64;Master;Together;50943;1;6;31;0;7;2;0;6;46
54;Graduation;Divorced;67272;1;12;357;35;271;28;28;14;733
71;Master;Widow;51529;1;9;400;4;35;6;0;22;467
49;PhD;Married;32011;1;8;99;0;15;2;1;5;122
34;2n Cycle;Married;7500;1;2;1;11;5;4;6;9;36
31;Graduation;Married;28691;1;7;5;4;13;8;0;4;34
72;PhD;Married;56223;1;12;77;28;31;16;0;4;156
74;Graduation;Married;18100;0;8;3;1;2;4;3;1;14
31;Graduation;Single;30279;1;12;10;4;14;4;4;1;37
46;2n Cycle;Married;20130;0;3;0;6;3;7;6;12;34
